,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
676,8.097482881870422e-05,0.0,0.27250872037054596,0.019895227760104724,0.2726134926104412
677,0.00014507594876111353,0.0,0.23658981264055487,0.02688758160968132,0.22970223103087353
678,0.00017588893931295708,0.0,0.1911364922034425,0.027179428319594974,0.1839570638838475
679,0.00018630318935041975,0.0,0.14494942914603037,0.025870594083805907,0.13907883506222446
680,0.0004352536395055569,0.0,0.12485835401979548,0.015979711702069313,0.12887864231772617
681,0.0007802870316872268,0.0,0.10591009743918164,0.017718094138277844,0.10819200330090381
682,0.0009101860500991509,0.0,0.08441404227189454,0.01758559438207565,0.0868284478898189
683,0.0009104870518719542,0.0,0.05976788753396885,0.012948954453401842,0.06681893308056701
684,0.000909716597470246,0.0,0.04650891841620809,0.0045778864016787985,0.061931032014529305
685,0.0009256564236498465,0.0,0.052731107589857204,0.006001476155109096,0.06672963143474811
