,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
768,0.0,0.0,0.09611120098010306,0.0032424913261007906,0.11286870965400227
769,0.0,0.0,0.1170859556033181,0.002882249626788813,0.13420370597652928
770,0.0,0.0,0.1408244016186835,0.0025648764725040435,0.15825952514617947
771,0.0,0.0,0.17467204148639187,0.0022851677213873473,0.19238687376500452
772,0.0,0.0,0.21990251845016492,0.0037444503284368848,0.23615806812172804
773,0.0,0.0,0.25032147587586323,0.006319261552233607,0.26400221432362964
774,0.0,0.0,0.2565279842326649,0.00847789652940625,0.2680500877032586
775,0.0,0.0,0.2495695332980737,0.009805022956449047,0.2597645103416246
776,0.0,0.0,0.23201819176248262,0.006857770499006174,0.2451604212634764
777,0.0,0.0,0.21223224295845436,0.0,0.23223224295845435
778,0.0,0.0,0.19319780103152037,0.005378381663801034,0.20781941936771933
779,0.0,0.0,0.16702327979982068,0.009222000657619384,0.17780127914220126
780,0.0,0.0,0.1346562502156429,0.01130296723748411,0.14335328297815877
781,0.0,0.0,0.09604992332642444,0.00857893496855824,0.1074709883578662
782,0.0,0.0,0.07870934728728757,0.008732379033123279,0.08997696825416429
783,0.0,0.0,0.07097624208993739,0.008497764703134592,0.08247847738680278
784,0.0,0.0,0.06392285948631266,0.008033143528860148,0.07588971595745252
785,0.0,0.0,0.05730059403000336,0.007441699089884094,0.06985889494011926
786,0.0,0.0,0.06147370442896862,0.006790835604603953,0.07468286882436467
787,0.0,0.0,0.06954410131456135,0.006128894931149836,0.0834152063834115
788,0.0,0.0,0.08034559941111712,0.0054913107234662835,0.09485428868765083
789,0.0,0.0,0.10087640896389767,0.0048978289462849505,0.11597858001761273
790,0.0,0.0,0.1253139528126133,0.004358218801138385,0.1409557340114749
791,0.0,0.0,0.15582258824346962,0.0038772704803187808,0.17194531776315083
792,0.0,0.0,0.18546959591176734,0.0034477589616029813,0.20202183695016435
793,0.0,0.0,0.211676882475692,0.003070387416810054,0.22860649505888192
794,0.0,0.0,0.25083120621409016,0.005794380963899073,0.2650368252501911
795,0.0,0.0,0.2687902702886818,0.008054586565395662,0.2807356837232862
796,0.0,0.0,0.2582667203551965,0.009953210311449075,0.2683135100437474
797,0.0,0.0,0.2339774004203996,0.009155194497082917,0.2448222059233167
798,0.0,0.0,0.20725531808493092,0.009657893172482755,0.21759742491244816
799,0.0,0.0,0.17311245943410514,0.005504279660711361,0.18760817977339375
800,0.0,0.0,0.15767534409213355,0.0026122612077938397,0.1750630828843397
801,0.0,0.0,0.13469435084722886,0.002657598796877005,0.15203675205035186
802,0.0,0.0,0.10692355747454517,0.002467331685325086,0.12445622578922008
803,0.0,0.0,0.07821905504244993,0.002558285040508456,0.09566077000194147
804,0.0,0.0,0.06171963422305958,0.003864663111769008,0.07785497111129057
805,0.0,0.0,0.05953293847465845,0.004569217314777149,0.0749637211598813
806,0.0,0.0,0.060030379539704706,0.004860747545060884,0.07516963199464383
807,0.0,0.0,0.061716922358462496,0.004874036056217074,0.07684288630224542
808,0.0,0.0,0.07045763876037499,0.004707642352296555,0.08574999640807844
809,0.0,0.0,0.08183235860981021,0.004435539567623971,0.09739681904218625
810,0.0,0.0,0.09762706048960994,0.004112166786846232,0.11351489370276371
811,0.0,0.0,0.12522337956894997,0.003774416648052231,0.14144896292089773
812,0.0,0.0,0.16751811573711345,0.006296207133679961,0.18122190860343343
813,0.0,0.0,0.20166568974578153,0.0076890329525840535,0.21397665679319747
814,0.0,0.0,0.22379910645818657,0.008845381069730906,0.2349537253884557
815,0.0,0.0,0.23760525054827333,0.009480641314354651,0.24812460923391866
816,0.0,0.0,0.2467230954937079,0.002328517828933498,0.2643945776647744
817,0.0,0.0,0.25375647787025474,0.005745845546787983,0.2680106323234667
818,0.0,0.0,0.24314179192619628,0.008492543863050784,0.25464924806314554
819,0.0,0.0,0.21941530452696262,0.01157608804110827,0.22783921648585434
820,0.0,0.0,0.18764501861330468,0.013082883408104193,0.19456213520520046
821,0.0,0.0,0.14689010650734854,0.011285617188613591,0.15560448931873494
822,0.0,0.0,0.1196440287987803,0.006454322222150628,0.13318970657662965
823,0.0,0.0,0.10294693928668794,0.0062053237866605765,0.11674161550002736
824,0.0,0.0,0.08338564471501894,0.005820108521961916,0.09756553619305702
825,0.0,0.0,0.06578193583052305,0.005364872269739506,0.08041706356078356
826,0.0,0.0,0.060083150532982355,0.004880594129057445,0.07520255640392491
827,0.0,0.0,0.060584470964416826,0.00440136358244668,0.07618310738197015
828,0.0,0.0,0.06599087913949225,0.0039428232233966005,0.08204805591609567
829,0.0,0.0,0.0747978282461154,0.0035190793999859116,0.09127874884612949
830,0.0,0.0,0.08968793290529238,0.003134114840053657,0.10655381806523873
831,0.0,0.0,0.10980507877723363,0.0027914176050549146,0.12701366117217872
832,0.0,0.0,0.13322527244256827,0.002382143232929375,0.15084312920963888
833,0.0,0.0,0.1670148123931917,0.002019026951616061,0.1849957854415756
834,0.0,0.0,0.20702032701731943,0.0037606356209498922,0.2232596913963695
835,0.0,0.0,0.2354926225254986,0.006268199346874638,0.24922442317862395
836,0.0,0.0,0.2434987492505386,0.00839436128489221,0.2551043879656464
837,0.0,0.0,0.241532547237026,0.009777950059074022,0.251754597177952
838,0.0,0.0,0.2341930072850853,0.007845774778223305,0.246347232506862
839,0.0,0.0,0.22152994768701584,0.0,0.24152994768701583
840,0.0,0.0,0.20824993034884062,0.0023999355219081757,0.22584999482693244
841,0.0,0.0,0.18373888286764722,0.00803210394279358,0.1957067789248536
842,0.0,0.0,0.15007516236939777,0.01021857907021753,0.15985658329918026
843,0.0,0.0,0.10915384830572156,0.007354323312474509,0.12179952499324705
844,0.0,0.0,0.08568754164111217,0.007599792933161661,0.0980877487079505
845,0.0,0.0,0.07704552328608633,0.007470366001928897,0.08957515728415742
846,0.0,0.0,0.06766311642128663,0.007119926503747996,0.08054318991753863
847,0.0,0.0,0.05848980507841144,0.006633131256082062,0.07185667382232938
848,0.0,0.0,0.057999313490606226,0.00607877931749246,0.07192053417311377
849,0.0,0.0,0.06453145707537564,0.0055112870549386085,0.07902017002043703
850,0.0,0.0,0.06973578433937616,0.004956256022009334,0.08477952831736683
851,0.0,0.0,0.0910608391974432,0.0044368382049076215,0.10662400099253559
852,0.0,0.0,0.11726431762483511,0.003962606536128948,0.13330171108870614
853,0.0,0.0,0.14459585557173482,0.003538422813523911,0.1610574327582109
854,0.0,0.0,0.1719066682682464,0.0031595922459428344,0.18874707602230356
855,0.0,0.0,0.19836213608988995,0.0028234715172422704,0.21553866457264767
856,0.0,0.0,0.23304275197397403,0.005719939274522989,0.24732281269945103
857,0.0,0.0,0.25873016605212285,0.008070280020191202,0.2706598860319317
858,0.0,0.0,0.2585810560722229,0.010058758123093271,0.2685222979491297
859,0.0,0.0,0.24703941499409895,0.009489361352122578,0.25755005364197636
860,0.0,0.0,0.2294028995995593,0.01005818083935572,0.2393447187602036
861,0.0,0.0,0.19905201517863746,0.0068211880906066825,0.2122308270880308
862,0.0,0.0,0.1724400574594989,0.002073614880283053,0.19036644257921587
863,0.0,0.0,0.14723687743929792,0.002186627657075941,0.16505024978222196
864,0.0,0.0,0.11397224559423824,0.00205105390954058,0.13192119168469765
865,0.0,0.0,0.08033351580159148,0.002676403316215065,0.09765711248537641
866,0.0,0.0,0.06447940041131063,0.004048380299026791,0.08043102011228384
867,0.0,0.0,0.0629162934749178,0.004775328514337758,0.07814096496058004
868,0.0,0.0,0.06158963056791798,0.005064554362861432,0.07652507620505655
869,0.0,0.0,0.06131313121093528,0.005060904648921079,0.0762522265620142
870,0.0,0.0,0.0643382915329877,0.004876742312685885,0.07946154922030181
871,0.0,0.0,0.07811600572441718,0.00458792071559394,0.09352808500882324
872,0.0,0.0,0.09210915941750411,0.004249381608105999,0.10785977780939811
873,0.0,0.0,0.1185362625313354,0.0038950130019068407,0.13464124952942855
874,0.0,0.0,0.15199688426122498,0.0060794646888498415,0.16591741957237513
875,0.0,0.0,0.18243174187939384,0.007236511231571827,0.195195230647822
876,0.0,0.0,0.20416531329917115,0.008207099994697624,0.21595821330447354
877,0.0,0.0,0.22101240903346334,0.008771960140660433,0.2322404488928029
878,0.0,0.0,0.2383076183447506,0.002372999160867605,0.255934619183883
879,0.0,0.0,0.25724600180912827,0.005554901917121257,0.271691099892007
880,0.0,0.0,0.2501831882424457,0.005074282156041993,0.2651089060864037
881,0.0,0.0,0.23244435079522474,0.009907438023240246,0.2425369127719845
882,0.0,0.0,0.20034115446365264,0.011664210810368355,0.2086769436532843
883,0.0,0.0,0.16230359612650797,0.010983637159511594,0.17131995896699634
