Index	Video	Part	Numparts	Pixel2PR	Blur width
308	2018_05_31_11_54_11.mj2	35	39	18	144
309	2018_05_31_11_54_11.mj2	36	39	18	144
310	2018_05_31_11_54_11.mj2	37	39	18	144
311	2018_05_31_11_54_11.mj2	38	39	18	144
312	2018_05_31_11_54_11.mj2	39	39	18	144
313	2018_05_31_11_54_11.mj2	1	39	18	162
314	2018_05_31_11_54_11.mj2	2	39	18	162
315	2018_05_31_11_54_11.mj2	3	39	18	162
316	2018_05_31_11_54_11.mj2	4	39	18	162
317	2018_05_31_11_54_11.mj2	5	39	18	162
318	2018_05_31_11_54_11.mj2	6	39	18	162
319	2018_05_31_11_54_11.mj2	7	39	18	162
320	2018_05_31_11_54_11.mj2	8	39	18	162
321	2018_05_31_11_54_11.mj2	9	39	18	162
322	2018_05_31_11_54_11.mj2	10	39	18	162
323	2018_05_31_11_54_11.mj2	11	39	18	162
324	2018_05_31_11_54_11.mj2	12	39	18	162
325	2018_05_31_11_54_11.mj2	13	39	18	162
326	2018_05_31_11_54_11.mj2	14	39	18	162
327	2018_05_31_11_54_11.mj2	15	39	18	162
328	2018_05_31_11_54_11.mj2	16	39	18	162
329	2018_05_31_11_54_11.mj2	17	39	18	162
330	2018_05_31_11_54_11.mj2	18	39	18	162
331	2018_05_31_11_54_11.mj2	19	39	18	162
332	2018_05_31_11_54_11.mj2	20	39	18	162
333	2018_05_31_11_54_11.mj2	21	39	18	162
334	2018_05_31_11_54_11.mj2	22	39	18	162
335	2018_05_31_11_54_11.mj2	23	39	18	162
336	2018_05_31_11_54_11.mj2	24	39	18	162
337	2018_05_31_11_54_11.mj2	25	39	18	162
338	2018_05_31_11_54_11.mj2	26	39	18	162
339	2018_05_31_11_54_11.mj2	27	39	18	162
340	2018_05_31_11_54_11.mj2	28	39	18	162
341	2018_05_31_11_54_11.mj2	29	39	18	162
342	2018_05_31_11_54_11.mj2	30	39	18	162
343	2018_05_31_11_54_11.mj2	31	39	18	162
344	2018_05_31_11_54_11.mj2	32	39	18	162
345	2018_05_31_11_54_11.mj2	33	39	18	162
346	2018_05_31_11_54_11.mj2	34	39	18	162
347	2018_05_31_11_54_11.mj2	35	39	18	162
348	2018_05_31_11_54_11.mj2	36	39	18	162
349	2018_05_31_11_54_11.mj2	37	39	18	162
350	2018_05_31_11_54_11.mj2	38	39	18	162
351	2018_05_31_11_54_11.mj2	39	39	18	162
352	2018_05_31_11_54_11.mj2	1	39	18	180
353	2018_05_31_11_54_11.mj2	2	39	18	180
354	2018_05_31_11_54_11.mj2	3	39	18	180
355	2018_05_31_11_54_11.mj2	4	39	18	180
356	2018_05_31_11_54_11.mj2	5	39	18	180
357	2018_05_31_11_54_11.mj2	6	39	18	180
358	2018_05_31_11_54_11.mj2	7	39	18	180
359	2018_05_31_11_54_11.mj2	8	39	18	180
360	2018_05_31_11_54_11.mj2	9	39	18	180
361	2018_05_31_11_54_11.mj2	10	39	18	180
362	2018_05_31_11_54_11.mj2	11	39	18	180
363	2018_05_31_11_54_11.mj2	12	39	18	180
364	2018_05_31_11_54_11.mj2	13	39	18	180
365	2018_05_31_11_54_11.mj2	14	39	18	180
366	2018_05_31_11_54_11.mj2	15	39	18	180
367	2018_05_31_11_54_11.mj2	16	39	18	180
368	2018_05_31_11_54_11.mj2	17	39	18	180
369	2018_05_31_11_54_11.mj2	18	39	18	180
370	2018_05_31_11_54_11.mj2	19	39	18	180
371	2018_05_31_11_54_11.mj2	20	39	18	180
372	2018_05_31_11_54_11.mj2	21	39	18	180
373	2018_05_31_11_54_11.mj2	22	39	18	180
374	2018_05_31_11_54_11.mj2	23	39	18	180
375	2018_05_31_11_54_11.mj2	24	39	18	180
376	2018_05_31_11_54_11.mj2	25	39	18	180
377	2018_05_31_11_54_11.mj2	26	39	18	180
378	2018_05_31_11_54_11.mj2	27	39	18	180
379	2018_05_31_11_54_11.mj2	28	39	18	180
380	2018_05_31_11_54_11.mj2	29	39	18	180
381	2018_05_31_11_54_11.mj2	30	39	18	180
382	2018_05_31_11_54_11.mj2	31	39	18	180
383	2018_05_31_11_54_11.mj2	32	39	18	180
384	2018_05_31_11_54_11.mj2	33	39	18	180
385	2018_05_31_11_54_11.mj2	34	39	18	180
386	2018_05_31_11_54_11.mj2	35	39	18	180
387	2018_05_31_11_54_11.mj2	36	39	18	180
388	2018_05_31_11_54_11.mj2	37	39	18	180
389	2018_05_31_11_54_11.mj2	38	39	18	180
390	2018_05_31_11_54_11.mj2	39	39	18	180
391	2018_05_31_11_54_11.mj2	1	39	18	198
392	2018_05_31_11_54_11.mj2	2	39	18	198
393	2018_05_31_11_54_11.mj2	3	39	18	198
394	2018_05_31_11_54_11.mj2	4	39	18	198
395	2018_05_31_11_54_11.mj2	5	39	18	198
396	2018_05_31_11_54_11.mj2	6	39	18	198
397	2018_05_31_11_54_11.mj2	7	39	18	198
398	2018_05_31_11_54_11.mj2	8	39	18	198
399	2018_05_31_11_54_11.mj2	9	39	18	198
400	2018_05_31_11_54_11.mj2	10	39	18	198
401	2018_05_31_11_54_11.mj2	11	39	18	198
402	2018_05_31_11_54_11.mj2	12	39	18	198
403	2018_05_31_11_54_11.mj2	13	39	18	198
404	2018_05_31_11_54_11.mj2	14	39	18	198
405	2018_05_31_11_54_11.mj2	15	39	18	198
406	2018_05_31_11_54_11.mj2	16	39	18	198
407	2018_05_31_11_54_11.mj2	17	39	18	198
408	2018_05_31_11_54_11.mj2	18	39	18	198
409	2018_05_31_11_54_11.mj2	19	39	18	198
410	2018_05_31_11_54_11.mj2	20	39	18	198
411	2018_05_31_11_54_11.mj2	21	39	18	198
412	2018_05_31_11_54_11.mj2	22	39	18	198
413	2018_05_31_11_54_11.mj2	23	39	18	198
414	2018_05_31_11_54_11.mj2	24	39	18	198
415	2018_05_31_11_54_11.mj2	25	39	18	198
416	2018_05_31_11_54_11.mj2	26	39	18	198
417	2018_05_31_11_54_11.mj2	27	39	18	198
418	2018_05_31_11_54_11.mj2	28	39	18	198
419	2018_05_31_11_54_11.mj2	29	39	18	198
420	2018_05_31_11_54_11.mj2	30	39	18	198
421	2018_05_31_11_54_11.mj2	31	39	18	198
422	2018_05_31_11_54_11.mj2	32	39	18	198
423	2018_05_31_11_54_11.mj2	33	39	18	198
424	2018_05_31_11_54_11.mj2	34	39	18	198
425	2018_05_31_11_54_11.mj2	35	39	18	198
426	2018_05_31_11_54_11.mj2	36	39	18	198
427	2018_05_31_11_54_11.mj2	37	39	18	198
428	2018_05_31_11_54_11.mj2	38	39	18	198
429	2018_05_31_11_54_11.mj2	39	39	18	198
430	2018_05_31_11_54_11.mj2	1	39	18	216
431	2018_05_31_11_54_11.mj2	2	39	18	216
432	2018_05_31_11_54_11.mj2	3	39	18	216
433	2018_05_31_11_54_11.mj2	4	39	18	216
434	2018_05_31_11_54_11.mj2	5	39	18	216
435	2018_05_31_11_54_11.mj2	6	39	18	216
436	2018_05_31_11_54_11.mj2	7	39	18	216
437	2018_05_31_11_54_11.mj2	8	39	18	216
438	2018_05_31_11_54_11.mj2	9	39	18	216
439	2018_05_31_11_54_11.mj2	10	39	18	216
440	2018_05_31_11_54_11.mj2	11	39	18	216
441	2018_05_31_11_54_11.mj2	12	39	18	216
442	2018_05_31_11_54_11.mj2	13	39	18	216
443	2018_05_31_11_54_11.mj2	14	39	18	216
444	2018_05_31_11_54_11.mj2	15	39	18	216
445	2018_05_31_11_54_11.mj2	16	39	18	216
446	2018_05_31_11_54_11.mj2	17	39	18	216
447	2018_05_31_11_54_11.mj2	18	39	18	216
448	2018_05_31_11_54_11.mj2	19	39	18	216
449	2018_05_31_11_54_11.mj2	20	39	18	216
450	2018_05_31_11_54_11.mj2	21	39	18	216
451	2018_05_31_11_54_11.mj2	22	39	18	216
452	2018_05_31_11_54_11.mj2	23	39	18	216
453	2018_05_31_11_54_11.mj2	24	39	18	216
454	2018_05_31_11_54_11.mj2	25	39	18	216
455	2018_05_31_11_54_11.mj2	26	39	18	216
456	2018_05_31_11_54_11.mj2	27	39	18	216
457	2018_05_31_11_54_11.mj2	28	39	18	216
458	2018_05_31_11_54_11.mj2	29	39	18	216
459	2018_05_31_11_54_11.mj2	30	39	18	216
460	2018_05_31_11_54_11.mj2	31	39	18	216
461	2018_05_31_11_54_11.mj2	32	39	18	216
462	2018_05_31_11_54_11.mj2	33	39	18	216
463	2018_05_31_11_54_11.mj2	34	39	18	216
464	2018_05_31_11_54_11.mj2	35	39	18	216
465	2018_05_31_11_54_11.mj2	36	39	18	216
466	2018_05_31_11_54_11.mj2	37	39	18	216
467	2018_05_31_11_54_11.mj2	38	39	18	216
468	2018_05_31_11_54_11.mj2	39	39	18	216
469	2018_05_31_11_54_11.mj2	1	39	18	234
470	2018_05_31_11_54_11.mj2	2	39	18	234
471	2018_05_31_11_54_11.mj2	3	39	18	234
472	2018_05_31_11_54_11.mj2	4	39	18	234
473	2018_05_31_11_54_11.mj2	5	39	18	234
474	2018_05_31_11_54_11.mj2	6	39	18	234
475	2018_05_31_11_54_11.mj2	7	39	18	234
476	2018_05_31_11_54_11.mj2	8	39	18	234
477	2018_05_31_11_54_11.mj2	9	39	18	234
478	2018_05_31_11_54_11.mj2	10	39	18	234
479	2018_05_31_11_54_11.mj2	11	39	18	234
480	2018_05_31_11_54_11.mj2	12	39	18	234
481	2018_05_31_11_54_11.mj2	13	39	18	234
482	2018_05_31_11_54_11.mj2	14	39	18	234
483	2018_05_31_11_54_11.mj2	15	39	18	234
484	2018_05_31_11_54_11.mj2	16	39	18	234
485	2018_05_31_11_54_11.mj2	17	39	18	234
486	2018_05_31_11_54_11.mj2	18	39	18	234
487	2018_05_31_11_54_11.mj2	19	39	18	234
488	2018_05_31_11_54_11.mj2	20	39	18	234
489	2018_05_31_11_54_11.mj2	21	39	18	234
490	2018_05_31_11_54_11.mj2	22	39	18	234
491	2018_05_31_11_54_11.mj2	23	39	18	234
492	2018_05_31_11_54_11.mj2	24	39	18	234
493	2018_05_31_11_54_11.mj2	25	39	18	234
494	2018_05_31_11_54_11.mj2	26	39	18	234
495	2018_05_31_11_54_11.mj2	27	39	18	234
496	2018_05_31_11_54_11.mj2	28	39	18	234
497	2018_05_31_11_54_11.mj2	29	39	18	234
498	2018_05_31_11_54_11.mj2	30	39	18	234
499	2018_05_31_11_54_11.mj2	31	39	18	234
500	2018_05_31_11_54_11.mj2	32	39	18	234
501	2018_05_31_11_54_11.mj2	33	39	18	234
502	2018_05_31_11_54_11.mj2	34	39	18	234
503	2018_05_31_11_54_11.mj2	35	39	18	234
504	2018_05_31_11_54_11.mj2	36	39	18	234
